Rate your skill in Python?,Semester,Credits Completed
3,6,51
4,6,48
4,6,48
3,6,48
1,8,69
4,6,35
4,6,57
4,6,60
4,4,48
5,6,60
5,4,36
4,6,54
3,5,36
4,6,51
4,6,57
2,5,39
4,8,60
3,6,54
3,7,66
3,5,39
3,9,51
3,5,41
4,6,51
2,6,51
3,6,48
5,6,48
3,6,57
4,7,60
4,6,48
4,6,48
3,5,39
3,6,48
4,8,69
5,6,51
3,6,54
3,6,57
4,4,33
3,6,51
3,5,33
4,4,27
2,2,12
3,5,39
3,6,42
2,4,36
4,6,48
4,6,39
3,5,39
4,7,57
3,4,33
3,6,63
5,5,42
1,6,36
5,6,48
1,6,35
4,6,45
4,8,75
2,6,54
4,6,54
3,7,57
4,6,54
4,5,48
3,1,0
3,7,60
4,5,39
4,6,51
4,6,57
5,8,81
5,8,75
3,4,30
3,6,54
3,6,48
2,8,72
4,5,39
5,6,54
3,6,48
3,6,45
2,5,39
3,6,45
4,6,47
3,7,60
3,6,54
2,5,37
4,3,27
3,6,60
3,4,30
3,6,57
3,6,51
3,10,51
4,6,45
1,6,51
4,6,54
4,6,54